Item_No,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Author_Year,Reference_Number,Comment1,Comment2,Comment3,Original_Composition_Formula
387,AB2,ScMn2,2.4,-55.3,140.0,1.0,"Shilov, 1981",530.0,,,,ScMn2
391,AB2,SmCo2,1.5,0.0,40.0,0.01,"Kanematsu, 1989",558.0,,,,SmCo2
394,AB2,SmFe2,1.5,-45.2,450.0,350.0,"Christodoulou, 1993",686.0,,,,SmFe2
395,AB2,SmMg2,0.0,-19.5,350.0,1.0,"Beck, 1962",45.0,,,,SmMg2
400,AB2,SmAlNi,0.5,-55.2,350.0,1.2,"Kolomiets, 1997",825.0,,,,SmNiAl
403,AB2,Tb0.27Dy0.73Fe2,1.5,-42.5,200.0,0.15,"Manwaring, 1993",379.0,,,,Tb.27Dy.73Fe2
405,AB2,TbNi2,1.1,-45.2,420.0,1.23,"Burnasheva, 1977",520.0,,,,TbNi2
409,AB2,Ce0.5Th1.5Al1,0.4,133.0,650.0,0.0003,"Van Vucht, 1963",492.0,,,,Th1.5Ce.5Al
411,AB2,ThNi2,0.6,-50.2,350.0,27.0,"Beck, 1962",45.0,,,,ThNi2
412,AB2,ThNi2,1.1,44.7,450.0,420.0,"Buschow, 1975",187.0,,,,ThNi2
414,AB2,ThZr2,0.5,413.0,910.0,0.08,"Bartscher, 1988",556.0,,,,ThZr2
417,AB2,La0.05Zr0.475Ti0.475Mn0.8Cr0.8Ni0.4,1.8,-10.2,40.0,2.0,"Liu, 1995",415.0,,,,Ti.475Zr.475La.05Mn.8Cr.8Ni.4
418,AB2,Zr0.48Ti0.52Mn0.21Al0.19V0.39Cr0.22Fe0.19Ni1.01,1.4,-37.8,22.0,0.8,"Chuang, 1999",1254.0,,,sloping plateau,Ti.52Zr.48Ni1.01V.39Cr.22Mn.21Fe.19Al.19
421,AB2,Zr0.5Ti0.5Cr1.5Ni0.5,1.4,-30.5,40.0,2.0,"Bououdina, 1998",1249.0,,,sloping plateau,Ti.5Zr.5Cr1.5Ni.5
422,AB2,Zr0.5Ti0.5Mn0.9Cr0.9Ni0.4,1.6,-35.2,40.0,3.0,"Liu, 1996",526.0,,,,Ti.5Zr.5Mn.9Cr.9Ni.4
423,AB2,Zr0.5Ti0.5Mn1.2Fe0.3,1.9,39.0,120.0,1.5,"Komazaki, 1983",29.0,,,,Ti.5Zr.5Mn1.2Fe.3
424,AB2,Zr0.5Ti0.5Mn1.36Fe0.34,1.5,-21.5,100.0,3.0,"Komazaki, 1983",29.0,,,,Ti.5Zr.5Mn1.36Fe.34
425,AB2,Zr0.5Ti0.5Mn2,1.8,40.0,70.0,1.5,"Gamo, 1979",34.0,,,,Ti.5Zr.5Mn2
429,AB2,Zr0.4Ti0.6Mn1.4Cr0.4Cu0.2,1.8,48.0,20.0,0.3,"Gamo, 1979",35.0,,,,Ti.6Zr.4Mn1.4Cr.4Cu.2
430,AB2,Zr0.4Ti0.6Mn1.5Cu0.3Si0.2,0.9,-25.8,20.0,11.0,"Au, 1995",860.0,,,,Ti.6Zr.4Mn1.5Cu.3Si.2
431,AB2,Zr0.4Ti0.6Mn1.6Cu0.3Si0.1,1.3,-45.0,20.0,1.0,"Au, 1995",860.0,,,,Ti.6Zr.4Mn1.6Cu.3Si.1
432,AB2,Zr0.4Ti0.6Mn1.9Cu0.1,1.7,40.6,20.0,0.5,"Gamo, 1979",34.0,,,,Ti.6Zr.4Mn1.9Cu.1
434,AB2,Zr0.27Ti0.73Mn1.25Cr0.75Cu0.1,1.7,-125.0,20.0,4.0,"Gamo, 1998",856.0,,,,Ti.73Zr.27Mn1.25Cr.75Cu.1
435,AB2,Zr0.25Ti0.75Cr1.5Ni0.5,1.7,-125.4,40.0,0.1,"Bououdina, 1998",1249.0,,,sloping plateau,Ti.75Zr.25Cr1.5Ni.5
436,AB2,Zr0.25Ti0.75Cr1Ni1,1.5,-20.5,40.0,1.0,"Bououdina, 1998",1249.0,,,sloping plateau,Ti.75Zr.25CrNi
437,AB2,Zr0.23Ti0.77Mn0.67Cr0.67Cu0.67,1.6,-53.4,30.0,8.0,"Zhan, 1995",627.0,,,,Ti.77Zr.23Mn.67Cr.67Cu.67
438,AB2,Zr0.3Ti0.7Mn1.9Mo0.1,1.7,41.0,17.0,0.9,"Gamo, 1979",34.0,,,,Ti.7Zr.3Mn1.9Mo.1
439,AB2,Zr0.2Ti0.8Cr1.8,2.4,23.0,0.0,3.0,"Andreev, 1984",684.0,,,,Ti.8Zr.2Cr1.8
440,AB2,Zr0.2Ti0.8Mn1Cr1,3.2,30.0,0.0,2.0,"Andreev, 1984",684.0,,,,Ti.8Zr.2CrMn
442,AB2,Zr0.2Ti0.8Mn0.8Cr1Fe0.2,1.8,28.0,20.0,12.0,"Gamo, 1979",35.0,,,,Ti.8Zr.2Mn.8Cr1.0Fe.2
443,AB2,Zr0.2Ti0.8Mn1.2Cr0.8,2.0,28.9,20.0,5.0,"Machida, 1978",371.0,,,,Ti.8Zr.2Mn1.2Cr.8
444,AB2,Zr0.2Ti0.8Mn1.2V0.2Cr0.6,1.9,30.5,20.0,2.2,"Gamo, 1979",35.0,,,,Ti.8Zr.2Mn1.2V.2Cr.6
445,AB2,Zr0.2Ti0.8Mn1.4V0.2Cr0.4,1.9,29.0,20.0,9.0,"Gamo, 1980",31.0,,,,Ti.8Zr.2Mn1.4V.2Cr.4
446,AB2,Zr0.2Ti0.8Mn1.5Cr0.5,2.0,27.5,30.0,10.0,"Hong, 1993",373.0,,,,Ti.8Zr.2Mn1.5Cr.5
447,AB2,Zr0.2Ti0.8Mn1.5Cu0.5,1.6,27.0,30.0,3.0,"Hong, 1993",373.0,,,,Ti.8Zr.2Mn1.5Cu.5
448,AB2,Zr0.2Ti0.8Mn1.5Fe0.5,1.7,25.4,30.0,11.0,"Hong, 1993",373.0,,,,Ti.8Zr.2Mn1.5Fe.5
449,AB2,Zr0.2Ti0.8Mn1.5V0.5,2.0,45.6,30.0,0.5,"Hong, 1993",373.0,,,,Ti.8Zr.2Mn1.5V.5
450,AB2,Zr0.2Ti0.8Mn1.6V0.2Cr0.2,1.9,30.5,20.0,2.0,"Gamo, 1979",35.0,,,,Ti.8Zr.2Mn1.6V.2Cr.2
451,AB2,Zr0.2Ti0.8Mn1.7V0.2Mo0.1,2.0,35.0,14.0,1.0,"Gamo, 1979",35.0,,,,Ti.8Zr.2Mn1.7V.2Mo.1
452,AB2,Zr0.2Ti0.8Mn1.8Mo0.2,1.7,29.0,20.0,4.0,"Gamo, 1980",31.0,,,,Ti.8Zr.2Mn1.8Mo.2
454,AB2,Zr0.2Ti0.8Mn1Cr1,1.8,-45.6,30.0,10.0,"Park, 2001",1280.0,,,,Ti.8Zr.2MnCr
455,AB2,Zr0.2Ti0.8Mn0.5V0.5Ni1,1.7,-45.2,50.0,1.2,"Lee, 1997",822.0,,,,Ti.8Zr.2NiV.5Mn.5
457,AB2,Zr0.2Ti0.8Mn0.2V0.6Fe0.2Ni0.8Pd0.1,1.3,46.5,25.0,0.01,"Yang, 1999",1180.0,,,,Ti.8Zr.2V.6Mn.2Pd.1Ni.8Fe.2
458,AB2,La0.05Zr0.3Ti0.8Mn1.4V0.2Cr0.2,1.8,-65.2,20.0,0.07,"Au, 1995",860.0,,,,Ti.8Zr.3Mn1.4La.05V.2Cr.2
459,AB2,Zr0.3Ti0.8Mn1.4V0.2Cr0.2Cu0.05Mo0.05,1.9,-44.5,20.0,0.18,"Au, 1995",860.0,,,,Ti.8Zr.3Mn1.4Mo.05Cu.05V.2Cr.2
460,AB2,Zr0.3Ti0.8Mn1.4V0.1Cr0.2Mo0.1,1.8,-45.7,20.0,0.07,"Au, 1995",860.0,,,,Ti.8Zr.3Mn1.4Mo.1V.1Cr.2
461,AB2,Zr0.3Ti0.8Mn1.5V0.4Cr0.2,1.2,-15.2,20.0,0.65,"Au, 1995",860.0,,,,Ti.8Zr.3Mn1.5V.4Cr.2
462,AB2,Zr0.3Ti0.8Mn1.5V0.4Cr0.2,1.7,-55.2,20.0,0.43,"Au, 1995",860.0,,,,Ti.8Zr.3Mn1.5V.4Cr.2
463,AB2,Zr0.3Ti0.8Mn1.6Al0.1Cr0.2,0.7,-35.4,20.0,3.4,"Au, 1995",860.0,,,,Ti.8Zr.3Mn1.6Cr.2Al.1
464,AB2,Zr0.05Ti0.95Mn0.6Cr1.2Co0.2,1.8,-84.0,20.0,65.0,"Hagstrom, 1999",1191.0,,,,Ti.95Zr.05Cr1.2Mn.6Co.2
465,AB2,Zr0.05Ti0.95Mn0.75V0.05Cr1.2,1.8,-120.5,20.0,36.0,"Hagstrom, 1999",1191.0,,,,Ti.95Zr.05Cr1.2Mn.75V.05
466,AB2,Zr0.05Ti0.95Mn0.7V0.1Cr1.2,1.8,-45.8,20.0,26.0,"Hagstrom, 1999",1191.0,,,,Ti.95Zr.05Cr1.2Mn.7V.1
467,AB2,Zr0.05Ti0.95Mn0.8Cr1.2,1.7,21.9,20.0,5.5,"Hagstrom, 1998",1242.0,,,,Ti.95Zr.05Cr1.2Mn.8
469,AB2,Ti1V1.4Ni0.6,2.9,28.8,60.0,0.4,"Chen, 1994",1163.0,,,,TiV1.4Ni.6
470,AB2,Ti1Mn0.1V1.5Fe0.4,3.3,-25.3,50.0,7.0,"Bernauer, 1987",610.0,,,,TiV1.5Fe.4Mn.1
472,AB2,Ti1V1.6Ni0.4,3.3,33.2,120.0,1.0,"Chen, 1994",1163.0,,,,TiV1.6Ni.4
473,AB2,Ti1V1.8Ni0.2,3.6,35.3,90.0,0.08,"Chen, 1994",1163.0,,,,TiV1.8Ni.2
476,AB2,TiMnV,2.4,-56.2,70.0,2.0,"Bernauer, 1989",344.0,,,,TiVMn
480,AB2,TmFe2,1.6,56.8,80.0,0.003,"Kierstead, 1982",374.0,,,,TmFe2 (M)
484,AB2,UAlNi,0.5,74.6,100.0,0.0003,"Yamanaka, 1999",1260.0,,,,UNiAl (M)
485,AB2,UAlNi,0.7,-31.5,127.0,50.0,"Yamamoto, 1998",1241.0,,,,UNiAl (M)
486,AB2,UTi2,1.9,-45.6,400.0,0.2,"Asada, 1995",628.0,,,,UTi2
489,AB2,YCo2,1.7,-142.5,470.0,1.2,"Burnasheva, 1979",519.0,,,,YCo2
490,AB2,YCo2,1.8,-35.2,25.0,0.05,"Shaltiel, 1977",14.0,,,,YCo2
493,AB2,Y1Fe1.8Co0.2,2.0,-10.5,150.0,0.0,"Fujii, 1983",59.0,,,,YFe1.8Co.2
496,AB2,YFe2,1.8,-25.4,450.0,35.0,"Fujii, 1983",59.0,,,,YFe2
501,AB2,YFe2,1.5,-45.2,350.0,1013.0,"Paul-Boncour, 2001",1279.0,,P=10 kbars,,YFe2
502,AB2,YFe2,0.75,-45.3,200.0,0.008,"Paul-Boncour, 1997",819.0,,,,YFe2 (M)
503,AB2,YFe2,1.7,-34.5,100.0,0.01,"Paul-Boncour, 1997",648.0,,,,YFe2 (M)
504,AB2,YFe2,2.1,-80.5,20.0,0.001,"Kierstead, 1982",61.0,,,,YFe2 (M)
508,AB2,YMn2,2.2,-28.5,250.0,1.5,"Latroche, 1998",1243.0,,,,YMn2
513,AB2,YNi2,1.8,-22.5,750.0,1.0,"Nakhl, 2001",1277.0,,,,YNi2
516,AB2,YRu2,1.1,-25.8,200.0,1.0,"Shaltiel, 1977",14.0,,,,YRu2
523,AB2,Zr1Cr1.1Fe1.1,1.5,-45.2,45.0,0.7,"Esayed, 1997",846.0,,,,Zr(Fe.55Cr.55)2
524,AB2,Zr1Cr0.5Fe1.5,1.4,25.6,45.0,3.0,"Fang, 2000",1283.0,,,,Zr(Fe.75Cr.25)2
525,AB2,Zr1Cr0.5Fe1.5,1.5,-15.2,45.0,2.0,"Esayed, 1997",846.0,,,,Zr(Fe.75Cr.25)2
532,AB2,Zr1Mn0.76Ni1.14,1.7,-45.8,30.0,0.15,"Lee, 2000",1272.0,,,,Zr(Mn.4Ni.6)1.9
535,AB2,Zr1Mn0.48V0.48Ni1.44,1.6,39.9,30.0,0.3,"Gao, 1995",404.0,,,,Zr(Ni.6V.2Mn.2)2.4
541,AB2,Zr0.5Ti0.5Cr1Fe1,1.8,27.0,23.0,4.0,"Yu, 1985",555.0,,,,Zr.5Ti.5CrFe
542,AB2,Zr0.5Ti0.5Mn0.4Al0.15V0.6Ni0.85,1.6,-25.3,30.0,0.02,"Song, 2001",1238.0,,,sloping plateau,Zr.5Ti.5Mn.4V.6Ni.85Al.15
543,AB2,Zr0.5Ti0.5Mn0.4V0.6Co0.15Ni0.85,1.6,-20.5,30.0,0.15,"Song, 2001",1238.0,,,sloping plateau,Zr.5Ti.5Mn.4V.6Ni.85Co.15
544,AB2,Zr0.5Ti0.5Mn0.4V0.6Cu0.15Ni0.85,1.6,-68.5,30.0,0.07,"Song, 2001",1238.0,,,sloping plateau,Zr.5Ti.5Mn.4V.6Ni.85Cu.15
545,AB2,Zr0.5Ti0.5Mn0.4V0.6Fe0.15Ni0.85,1.6,-45.2,30.0,0.1,"Song, 2001",1238.0,,,sloping plateau,Zr.5Ti.5Mn.4V.6Ni.85Fe.15
546,AB2,Zr0.5Ti0.5Mn0.4V0.6Ni0.85Mo0.15,1.6,-50.2,30.0,0.04,"Song, 2001",1238.0,,,sloping plateau,Zr.5Ti.5Mn.4V.6Ni.85Mo.15
548,AB2,Zr0.5Ti0.5Mn1.2Fe0.3,1.6,-45.3,150.0,3.0,"Suzuki, 1982",26.0,,,,Zr.5Ti.5Mn1.2Fe.3
549,AB2,Zr0.65Ti0.35Mn0.528V0.2464Cr0.1936Ni0.7568,1.7,-15.8,30.0,0.03,"Lee, 2000",1272.0,,,,Zr.65Ti.35(Mn.3V.14Cr.11Ni.43)1.76
551,AB2,Ho0.4Zr0.6Co2,1.0,29.3,50.0,2.0,"Ramesh, 1993",363.0,,,,Zr.6Ho.4Co2
552,AB2,Zr0.6Ti0.4Mn2,1.7,-45.8,23.0,0.2,"Fujii, 1981",18.0,,,,Zr.6Ti.4Mn2
553,AB2,Zr0.75Ti0.25Mn1.1Fe0.9,0.85,-45.3,23.0,0.9,"Pedziwiatr, 1983",28.0,,,,Zr.75Ti.25Mn1.1Fe.9
555,AB2,Zr0.76Ti0.24Mn0.63V0.14Fe0.18Ni1.16,1.6,29.7,30.0,5.0,"Morii, 1995",410.0,,,,Zr.76Ti.24Ni1.16Mn.63V.14Fe.18
556,AB2,Zr1Cr2Fe0.8,1.2,46.5,100.0,0.8,"Drasner, 1991",564.0,,,,ZrCr2Fe.8
557,AB2,Zr1Cr2Ni0.8,1.4,37.9,100.0,1.0,"Drasner, 1991",564.0,,,,ZrCr2Ni.8
559,AB2,Zr1V0.4Cr1Co0.6,1.6,-20.5,180.0,1.0,"Bououdina, 1996",585.0,,,,ZrCrCo.6V.4
560,AB2,Zr1V0.2Cr1Co0.8,2.2,-18.5,150.0,3.0,"Bououdina, 1997",649.0,,,,ZrCrCo.8V.2
561,AB2,ZrCrFe,1.6,36.0,51.0,2.0,"Yu, 1985",555.0,,,,ZrCrFe
562,AB2,Zr1Cr1Fe1.2,1.4,34.0,120.0,7.0,"Ivanova, 1999",1259.0,,,calor.,ZrCrFe1.2
563,AB2,Zr1Cr1Fe1.6,1.2,29.1,30.0,2.5,"Uchida, 1986",370.0,,,,ZrCrFe1.6
564,AB2,Zr1Cr1Fe1.6,1.3,-25.8,23.0,2.0,"Wallace, 1985",1168.0,,,sloping plateau,ZrCrFe1.6
565,AB2,Zr1Cr1Fe1.8,1.3,19.0,23.0,6.0,"Wallace, 1985",1168.0,,,sloping plateau,ZrCrFe1.8
566,AB2,Zr1Cr1Fe1Co0.8,1.1,20.0,0.0,10.0,"Wallace, 1985",1168.0,,,sloping plateau,ZrCrFeCo.8
567,AB2,Zr1Cr1Fe1Cu0.8,1.2,28.0,23.0,3.0,"Wallace, 1985",1168.0,,,,ZrCrFeCu.8
568,AB2,Zr1Mn0.8Cr1Fe1,1.4,32.0,23.0,0.6,"Wallace, 1985",1168.0,,,sloping plateau,ZrCrFeMn.8
569,AB2,Zr1Cr1Fe1Ni0.8,1.1,21.0,0.0,8.0,"Wallace, 1985",1168.0,,,sloping plateau,ZrCrFeNi.8
570,AB2,ZrCrNi,1.3,-12.5,80.0,1.0,"Visintin, 2001",1291.0,,at 80C,No plateau,ZrCrNi
571,AB2,ZrCrNi,1.4,-89.5,30.0,8.0,"Jung, 1998",1244.0,,,,ZrCrNi
572,AB2,Zr1Cr1Fe1.4,1.7,21.0,23.0,1.0,"Sinha, 1985",554.0,,,,ZrFe1.4Cr
573,AB2,Zr1Cr0.6Fe1.4,0.35,-45.8,23.0,0.8,"Pedziwiatr, 1983",28.0,,,,ZrFe1.4Cr.6
574,AB2,Zr1Cr0.6Fe1.4,1.45,-45.2,30.0,1.0,"Davidson, 2001",1288.0,,,,ZrFe1.4Cr.6
575,AB2,Zr1Cr0.6Fe1.4,1.5,29.9,20.0,3.0,"Ivey, 1984",29.0,,,,ZrFe1.4Cr.6
576,AB2,Zr1Al0.5Fe1.5,1.0,-15.2,20.0,0.1,"Jacob, 1978",16.0,,,,ZrFe1.5Al.5
577,AB2,Zr1Cr1Fe1.5,1.5,23.0,23.0,1.5,"Sinha, 1985",554.0,,,,ZrFe1.5Cr
578,AB2,Zr1Cr0.5Fe1.5,1.4,24.3,50.0,5.5,"Shaltiel, 1977",14.0,,,,ZrFe1.5Cr.5
579,AB2,Zr1Cr0.5Fe1.5,1.5,25.6,20.0,5.0,"Ivey, 1984",29.0,,,,ZrFe1.5Cr.5
580,AB2,Zr1V0.5Fe1.5,1.6,32.2,50.0,0.25,"Shaltiel, 1977",14.0,,,,ZrFe1.5V.5
581,AB2,Zr1Al0.4Fe1.6,1.0,36.0,24.0,10.0,"Fujii, 1982",22.0,,,,ZrFe1.6Al.4
586,AB2,ZrCrFe,1.7,49.4,50.0,0.1,"Shaltiel, 1977",14.0,,,,ZrFeCr
587,AB2,ZrMnFe,1.6,31.0,150.0,10.0,"Suzuki, 1982",27.0,,,,ZrFeMn
588,AB2,Zr1Mn1Cr0.25Fe1,1.6,-45.3,45.0,0.5,"Sinha, 1985",554.0,,,,ZrFeMnCr.25
589,AB2,Zr1Mn1Fe1Ni0.4,0.8,-45.3,23.0,5.0,"Sinha, 1985",554.0,,,,ZrFeMnNi.4
590,AB2,ZrFeMo,1.2,29.8,30.0,0.6,"Semenenko, 1980",638.0,,,,ZrFeMo
591,AB2,ZrVFe,1.6,48.1,50.0,0.0012,"Shaltiel, 1977",14.0,,,,ZrFeV
592,AB2,Zr1Mn0.5V0.5Ni1.4,1.6,-55.8,30.0,0.2,"Kim, 1999",1264.0,,,Sloping plateau,ZrMn.5V.5Ni1.4
593,AB2,Zr1Mn0.6Ni1.4,0.9,-23.5,25.0,3.4,"Hsu, 2000",1276.0,,,,ZrMn.6Ni1.4
594,AB2,Zr1Mn0.6V0.2Co0.1Ni1.2,1.6,-85.3,40.0,0.9,"Lai, 2000",1271.0,,,,ZrMn.6V.2Co.1Ni1.2
595,AB2,Zr1Mn0.6V0.2Co0.1Ni1.2,1.6,-24.8,25.0,0.5,"Hsu, 2000",1276.0,,,,ZrMn.6V.2Co.1Ni1.2
596,AB2,Zr1Mn0.6V0.2Ni1.2,1.8,-35.8,25.0,0.14,"Hsu, 2000",1276.0,,,,ZrMn.6V.2Ni1.2
597,AB2,Zr1Mn0.8Ni1.2,1.7,-15.8,25.0,0.5,"Hsu, 2000",1276.0,,,,ZrMn.8Ni1.2
598,AB2,Zr1Mn1.11Fe1.22,1.3,29.4,30.0,2.0,"Uchida, 1986",370.0,,,,ZrMn1.11Fe1.22
599,AB2,Zr1Mn1.11Fe1.22,1.5,13.3,100.0,5.0,"Sinha, 1983",23.0,,,,ZrMn1.11Fe1.22
600,AB2,Zr1Mn1.22Fe1.11,1.5,13.0,23.0,1.0,"Sinha, 1983",23.0,,,,ZrMn1.22Fe1.11
601,AB2,Zr1Mn1.22Fe1.14,1.2,31.0,40.0,2.0,"Uchida, 1986",370.0,,,,ZrMn1.22Fe1.14
602,AB2,Zr1Mn1.2Fe0.4,1.5,33.0,50.0,0.4,"Shaltiel, 1977",14.0,(+ ZrMnFe),,,ZrMn1.2Fe0.4
603,AB2,Zr1Mn1.52V0.08Co0.4,1.2,-15.2,200.0,8.0,"Yonezu, 1991",563.0,,,,ZrMn1.52Co.4V0.08
604,AB2,Zr1Mn1.53Fe1.27,1.0,9.0,23.0,4.0,"Sinha, 1983",23.0,,,,ZrMn1.53Fe1.27
605,AB2,Zr1Mn1.6Co0.4,1.3,-7.8,150.0,3.0,"Yonezu, 1991",563.0,,,,ZrMn1.6Co.4
606,AB2,Zr1Mn1.8,1.2,-10.5,50.0,0.06,"van Essen, 1980",17.0,,,,ZrMn1.8
607,AB2,Zr1Mn1.8,1.6,38.8,50.0,0.1,"Luo, 1992",582.0,,,,ZrMn1.8
608,AB2,Zr1Mn1.8Co0.2,1.2,-57.3,200.0,6.0,"Fujitani, 1991",368.0,,,,ZrMn1.8Co0.2
609,AB2,Zr1Mn1.8Fe0.2,1.2,-45.2,200.0,8.0,"Fujitani, 1991",368.0,,,,ZrMn1.8Fe0.2
610,AB2,Zr1Mn1.8Ni0.2,1.1,-20.5,200.0,6.0,"Fujitani, 1991",368.0,,,,ZrMn1.8Ni0.2 (M)
611,AB2,Zr1Mn1.8V0.2,1.3,-25.3,200.0,1.0,"Fujitani, 1991",368.0,,,,ZrMn1.8V0.2
615,AB2,ZrMn2,1.4,-17.5,150.0,1.0,"Yonezu, 1991",563.0,,,,ZrMn2
616,AB2,ZrMn2,1.5,36.0,210.0,3.0,"Fujii, 1987",369.0,,,,ZrMn2
618,AB2,ZrMn2,1.7,37.4,50.0,0.01,"Luo, 1992",582.0,,,,ZrMn2
619,AB2,ZrMn2,1.8,53.2,80.0,0.03,"Shaltiel, 1977",14.0,,,,ZrMn2
620,AB2,ZrMn2,1.9,-21.5,420.0,3.5,"Jacob, 1980",65.0,,,,ZrMn2
621,AB2,Zr1Mn2.4,1.6,-55.2,50.0,0.7,"van Essen, 1980",17.0,,,,ZrMn2.4
622,AB2,Zr1Mn2.5,1.4,32.0,50.0,0.07,"Luo, 1992",582.0,,,,ZrMn2.5
623,AB2,Zr1Mn2.6Fe0.2,1.4,15.0,100.0,0.12,"Pourarian, 1982",512.0,,,,ZrMn2.6Fe.2
624,AB2,Zr1Mn2.7,1.3,33.6,100.0,3.0,"Uchida, 1986",370.0,,,,ZrMn2.7
626,AB2,Zr1Mn2.8,1.5,18.4,23.0,0.4,"Pourarian, 1981",19.0,,,,ZrMn2.8
627,AB2,Zr1Mn2.8,1.6,-278.0,50.0,2.0,"van Essen, 1980",17.0,,,,ZrMn2.8
628,AB2,Zr1Mn2.8Fe0.4,1.2,23.0,100.0,0.12,"Pourarian, 1982",512.0,,,,ZrMn2.8Fe.4
629,AB2,Zr1Mn2.8Ni0.4,1.3,-45.8,23.0,4.0,"Pourarian, 1984",551.0,,,,ZrMn2.8Ni.4
630,AB2,Zr1Mn2Co0.8,4.7,20.9,23.0,4.0,"Pedziwiatr, 1983",28.0,,,,ZrMn2Co.8
631,AB2,Zr1Mn2Co0.8,0.9,19.3,23.0,3.5,"Pourarian, 1984",551.0,,,,ZrMn2Co.8
632,AB2,Zr1Mn2Cu0.8,0.45,31.6,23.0,0.06,"Pedziwiatr, 1983",28.0,,,,ZrMn2Cu.8
633,AB2,Zr1Mn2Cu0.8,1.4,27.0,50.0,0.06,"Pourarian, 1984",551.0,,,,ZrMn2Cu.8
634,AB2,Zr1Mn2Fe0.8,0.15,25.0,23.0,0.5,"Pedziwiatr, 1983",28.0,,,,ZrMn2Fe.8
635,AB2,Zr1Mn2Fe0.8,1.2,29.3,30.0,2.0,"Uchida, 1986",370.0,,,,ZrMn2Fe.8
636,AB2,Zr1Mn2Fe0.8,1.4,12.7,23.0,0.7,"Sinha, 1982",509.0,,,,ZrMn2Fe.8
637,AB2,Zr1Mn2Fe1.2,0.7,6.8,25.0,3.0,"Sinha, 1982",509.0,,,,ZrMn2Fe1.2
639,AB2,Zr1Mn2Ni0.8,1.3,18.6,23.0,3.0,"Pourarian, 1984",551.0,,,,ZrMn2Ni.8
642,AB2,ZrMn3,1.3,29.2,50.0,0.6,"Luo, 1992",582.0,,,,ZrMn3
643,AB2,Zr1Mn3.8,1.2,17.0,30.0,0.7,"Pourarian, 1981",19.0,,,,ZrMn3.8
644,AB2,ZrMnFe,0.1,20.4,0.0,0.4,"Fukada, 1999",1255.0,,0.4 atm at 0Â°C,No plateau,ZrMnFe
645,AB2,Zr1Mn1Fe0.7Co0.3,1.2,17.6,30.0,4.0,"Prakash, 2000",1285.0,,,Sloping plateau,ZrMnFe.7Co.3
648,AB2,ZrMo2,0.3,-45.8,450.0,0.0,"Beck, 1962",45.0,,,,ZrMo2
650,AB2,ZrMo2,0.5,-15.2,300.0,260.0,"Semenenko, 1980",638.0,,,,ZrMo2
651,AB2,ErCo2,1.3,-45.2,350.0,0.0,"Gualtieri, 1977",50.0,,,,ErCo2
652,AB2,ErFe2,1.1,-45.3,650.0,0.0,"Burnasheva, 1979",519.0,,,,ErFe2
655,AB2,ErFe2,1.4,-45.3,205.0,1.0,"Shilov, 1981",530.0,,,,ErFe2
656,AB2,ErFe2,1.7,-77.5,24.0,0.06,"Shashikala, 1996",1165.0,,,sloping plateau,ErFe2
658,AB2,ErFe2,1.1,56.2,130.0,0.013,"Flanagan, 1987",358.0,,,,ErFe2 (M)
659,AB2,ErFe2,1.5,57.9,80.0,0.001,"Kierstead, 1980",356.0,,,,ErFe2 (M)
665,AB2,ErMn2,1.75,-50.2,22.0,0.02,"Viccaro, 1980",359.0,,,,ErMn2
666,AB2,ErNi2,0.9,-58.3,350.0,15.0,"Gualtieri, 1977",50.0,,,,ErNi2
670,AB2,ErAlNi,0.6,-15.2,350.0,1.2,"Kolomiets, 1997",651.0,,,,ErNiAl
671,AB2,ErAlNi,0.6,-25.4,420.0,1.2,"Kolomiets, 1997",825.0,,,,ErNiAl
674,AB2,GdCo2,1.4,-45.2,420.0,0.0,"Burnasheva, 1979",519.0,,,,GdCo2
675,AB2,GdCo2,1.4,54.0,350.0,1.2,"Buschow, 1977",54.0,,,,GdCo2
678,AB2,GdCo2,1.5,48.0,200.0,2.0,"Shaltiel, 1979",361.0,,,,GdCo2 (M)
679,AB2,GdFe2,4.5,-42.5,300.0,0.0,"Beck, 1962",45.0,,,,GdFe2
680,AB2,GdFe2,1.5,-34.8,420.0,318.0,"Buschow, 1975",518.0,,,,GdFe2
681,AB2,GdFe2,1.5,29.0,292.0,1.0,"Shaltiel, 1979",361.0,,,,GdFe2
682,AB2,GdFe2,1.6,-55.2,20.0,0.0001,"Kierstead, 1982",61.0,,,,GdFe2 (M)
683,AB2,GdAlFe,1.2,-35.2,27.0,0.75,"Drulis, 1984",553.0,,,,GdFeAl
685,AB2,GdMn2,1.1,87.5,360.0,1.0,"Shaltiel, 1979",361.0,,,,GdMn2
686,AB2,GdMn2,1.6,-54.3,420.0,25.0,"Przewoznik, 1996",525.0,,,,GdMn2
687,AB2,GdNi2,1.3,-45.3,700.0,33.8,"Burnasheva, 1977",520.0,,,,GdNi2
689,AB2,GdNi2,1.5,90.0,300.0,1.0,"Shaltiel, 1979",361.0,,,,GdNi2
692,AB2,GdAlNi,0.8,-72.5,27.0,0.5,"Drulis, 1984",553.0,,,,GdNiAl
693,AB2,GdRh2,0.9,49.0,142.0,6.0,"Shaltiel, 1979",361.0,,,,GdRh2
694,AB2,GdRh2,0.9,-25.8,100.0,0.8,"Shaltiel, 1977",14.0,,,,GdRh2
